ID,車名,支払総額,車両価格,諸費用,色,年式,走行距離,地域,車検,ミッション,駆動方式,整備ノート,排気量,法定整備,動力,修復歴,ワンオーナー,未使用車,禁煙車,外装,内装,機関,修理歴,カーナビ,ETC,スマートキー,盗難防止システム,アイドリングストップ,100V電源,USB入力端子,Bluetooth接続,音楽プレイヤー接続可,CDデッキ,DVDデッキ,テレビ,パワーステアリング,パワーウィンドウ,寒冷地仕様,本革シート,ハーフレザーシート,パワーシート,ベンチシート,フルフラット,シートエアコン,シートヒーター,ローダウン,電動リアゲート,サンルーフ,ディスチャージドランプ,LEDヘッドランプ,アルミホイール,エアロパーツ,エアバッグ,ドライブレコーダー,バックモニターカメラ,全周囲カメラ,フロントカメラ,サイドカメラ,横滑り防止装置,衝突安全ボディ,衝突被害軽減システム,ABS,クルーズコントロール,アダプティブクルーズコントロール,クリアランスソナー,オートライト,レーンアシスト,パークアシスト,自動駐車システム
321,プリウス Ａツーリングセレクション,253.2,245,8.2,グレーメタリック,2021,2.3,京都府,2024/12,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
322,プリウス Ｓ,82.6,68,14.6,パール,2011,2.8,奈良県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,1,5,5,正常,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
323,プリウス Ｓ,117.4,103,14.4,ホワイトパールクリスタルシャイン,2013,3.8,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,1,5,5,正常,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
324,プリウス Ｓ,119.4,105,14.4,ホワイトパールクリスタルシャイン,2013,3.5,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
325,プリウス Ｓセーフティプラス,180.7,165,15.7,ブラックＭ,2018,9.3,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
326,プリウス Ｓツーリングセレクション・ブラックエディション,269.8,259.8,10,パールＩＩ,2021,1.6,兵庫県,2024/10,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
327,プリウス Ｓ,122.6,109.8,12.8,ブルー,2015,6.7,大阪府,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,1,3,4,正常,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0
328,プリウス Ｓ,110,98,12,パールホワイト,2016,12.2,奈良県,車検整備付,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
329,プリウス Ｓツーリングセレクション,279.9,269.4,10.5,プレシャスブラックパール,2021,3,兵庫県,2024/11,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
330,プリウス Ｓツーリングセレクション,255.9,243,12.9,アティチュードブラックマイカ,2022,3.1,大阪府,2025/05,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,0,NA,NA,NA,NA,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
